"NMDS1","NMDS2","Lake","Year","FishStatus"
-1.37921209312621,-0.33187637000274,"Bighorn",1966,"Stocked"
0.397653040426001,-0.0798588876227743,"Bighorn",1968,"Stocked"
2.36665863713668,-0.22435562731955,"Bighorn",1971,"Stocked"
1.05006296161819,-1.48424046235722,"Bighorn",1972,"Stocked"
0.994585495581932,-1.11334953385874,"Bighorn",1977,"Stocked"
0.79080862268513,-0.419863664205439,"Bighorn",1991,"Stocked"
0.479638520541692,-0.391595410027286,"Bighorn",1992,"Stocked"
0.983694282528295,-0.0220137469300362,"Bighorn",1994,"Stocked"
1.23258841213864,0.0582257728190264,"Bighorn",1995,"Stocked"
0.969587943186513,1.18811030354163,"Bighorn",1996,"Decline"
1.23265572728724,0.13188619016045,"Bighorn",1997,"Decline"
0.387748905031171,0.714964098186262,"Bighorn",1998,"Decline"
0.278452061665829,0.526337584171678,"Bighorn",1999,"Decline"
-0.0627240215739065,0.922229879264027,"Bighorn",2000,"Decline"
0.116338484167741,0.709985427708143,"Bighorn",2001,"Decline"
0.0197377584309648,0.749182587480827,"Bighorn",2002,"Absent"
0.220776927515992,0.660403794790649,"Bighorn",2003,"Absent"
0.229119322346984,0.436739659634337,"Bighorn",2004,"Absent"
-0.34601074438156,0.789000981765972,"Bighorn",2005,"Absent"
-0.322888215455,0.609734425828061,"Bighorn",2006,"Absent"
-0.631115615334442,0.595188405460147,"Bighorn",2009,"Absent"
-0.356776563724042,0.788899084367808,"Bighorn",2013,"Absent"
-0.769793007551673,0.344502392237906,"Bighorn",2022,"Absent"
2.17191321310657,0.175705502182753,"Harrison",1966,"Stocked"
2.20404946945316,0.163898221375905,"Harrison",1967,"Stocked"
2.16208022312215,0.260217447340216,"Harrison",1972,"Stocked"
1.61178958468389,-0.0536442211225977,"Harrison",1977,"Stocked"
1.38882834361194,0.57417006340332,"Harrison",1996,"Stocked"
1.28499914518629,0.52451689970446,"Harrison",1997,"Stocked"
1.34007330126963,0.646738666302736,"Harrison",1998,"Stocked"
1.37415997991182,0.689893806083939,"Harrison",1999,"Stocked"
1.23671919589307,0.732189001873727,"Harrison",2001,"Stocked"
1.06219966341997,0.628225782376745,"Harrison",2002,"Stocked"
1.35250403993776,0.946470418336367,"Harrison",2003,"Stocked"
1.30116626952365,0.906892979174242,"Harrison",2004,"Stocked"
1.36389677397465,0.818869043435899,"Harrison",2005,"Stocked"
1.25276145519694,1.12797781120644,"Harrison",2006,"Stocked"
1.28496550288492,1.04611813107781,"Harrison",2009,"Stocked"
0.86503721756401,1.58627801740119,"Harrison",2015,"Stocked"
1.10467995085923,1.0215995991481,"Harrison",2022,"Stocked"
-0.822287646355172,0.258449134753146,"Pipit",1966,"Stocked"
-0.19655673400464,-1.01363838422857,"Pipit",1967,"Stocked"
1.0500629617858,-1.48424046225502,"Pipit",1968,"Stocked"
1.05006296175535,-1.48424046227359,"Pipit",1969,"Stocked"
1.30798621249828,-1.28461353493137,"Pipit",1971,"Stocked"
1.05006296177816,-1.48424046225969,"Pipit",1972,"Stocked"
0.827700145489371,-1.31084403357033,"Pipit",1977,"Decline"
-0.655008916419977,-0.115446260054927,"Pipit",1991,"Decline"
-0.78470936042659,0.0837317845122295,"Pipit",1992,"Absent"
-0.554764903091338,0.198267043636642,"Pipit",1993,"Absent"
-0.599623582942715,-0.0431602134271685,"Pipit",1994,"Absent"
-0.72501867300497,-0.208872621815356,"Pipit",1995,"Absent"
-0.643374942851862,0.236404865455147,"Pipit",1996,"Absent"
-0.697136289950055,0.125440768582515,"Pipit",1997,"Absent"
-0.484772421966241,0.354467089977959,"Pipit",1998,"Absent"
-0.717469070511843,0.0530776516897508,"Pipit",1999,"Absent"
-0.641907770275456,0.0952615965144381,"Pipit",2000,"Absent"
-0.433177196728979,0.241064084730666,"Pipit",2001,"Absent"
-0.239722515329845,0.19302710993491,"Pipit",2002,"Absent"
-0.535794741393534,0.349832200395234,"Pipit",2003,"Absent"
-0.584542698428079,0.136850026489304,"Pipit",2004,"Absent"
-0.402818952304438,0.439773696392407,"Pipit",2005,"Absent"
-0.460021017671725,0.343459962554416,"Pipit",2006,"Absent"
-0.484777949579188,0.52679752360478,"Pipit",2007,"Absent"
-0.688495337101916,0.467429640638121,"Pipit",2008,"Absent"
-0.732444813685819,0.190234333265781,"Pipit",2009,"Absent"
