"","Trophic.Group_Carnivore","Trophic.Group_Herbivore","Trophic.Group_Omnivore","Feeding.Method_Filtration","Feeding.Method_Raptorial","Body.Size_L","Body.Size_M","Body.Size_S","Reproduction_Facultative.asexual","Reproduction_Obligate.sexual","Pigmentation_NO","Pigmentation_YES","Motility_Rapid","Motility_Slow"
"Oes10",0.995420769998939,0.00457923000106081,0,1,0,1,0,0,0.00457923000106081,0.995420769998939,0,1,0.995420769998939,0.00457923000106081
"Oes11",1,0,0,1,0,1,0,0,0,1,0,1,1,0
"Oes12",0.992111293574844,0.00788870642515602,0,1,0,1,0,0,0.00788870642515602,0.992111293574844,0,1,0.992111293574844,0.00788870642515602
"Oes13",0.989486547997961,0.0105134520020392,0,1,0,1,0,0,0.0105134520020392,0.989486547997961,0,1,0.989486547997961,0.0105134520020392
"Oes18",1,0,0,1,0,1,0,0,0,1,0,1,1,0
"Eif75",0.962585034013606,0.0374149659863946,0,1,0,0.996598639455782,0,0.00340136054421769,0.0374149659863946,0.962585034013606,0,1,0.962585034013606,0.0374149659863946
"Eif07",0.991998562780111,0.00800143721988927,0,1,0,1,0,0,0.00800143721988927,0.991998562780111,0,1,0.991998562780111,0.00800143721988927
"Eif08",0.976298453409337,0.0237015465906635,0,1,0,1,0,0,0.0237015465906635,0.976298453409337,0,1,0.976298453409337,0.0237015465906635
"Eif09",0.977712112866129,0.0222878871338712,0,1,0,1,0,0,0.0222878871338712,0.977712112866129,0,1,0.977712112866129,0.0222878871338712
"Eif10",0.958682300375954,0.041317699624046,0,1,0,1,0,0,0.041317699624046,0.958682300375954,0,1,0.958682300375954,0.041317699624046
"Eif11",0.905063291097733,0.0949367089022673,0,1,0,1,0,0,0.0949367089022673,0.905063291097733,0,1,0.905063291097733,0.0949367089022673
"Eif12",0.970262080042873,0.0297379199571273,0,1,0,1,0,0,0.0297379199571273,0.970262080042873,0,1,0.970262080042873,0.0297379199571273
"Eif13",0.959740174766682,0.0402598252333179,0,1,0,1,0,0,0.0402598252333179,0.959740174766682,0,1,0.959740174766682,0.0402598252333179
"Eif18",0.446725317664402,0.116324535639254,0.436950146696344,0.563049853303656,0.436950146696344,0.563049853303656,0,0.436950146696344,0.116324535639254,0.883675464360746,0.436950146696344,0.563049853303656,0.883675464360746,0.116324535639254
"Hun07",0.73762104567063,0.26237895432937,0,1,0,1,0,0,0.26237895432937,0.73762104567063,0,1,0.73762104567063,0.26237895432937
"Hun08",0.801418439869829,0.198581560130171,0,1,0,1,0,0,0.198581560130171,0.801418439869829,0,1,0.801418439869829,0.198581560130171
"Hun09",0.915621977398686,0.0843780226013141,0,1,0,0.998371090732698,0,0.00162890926730221,0.0843780226013141,0.915621977398686,0,1,0.915621977398686,0.0843780226013141
"Hun10",0.720876586024679,0.279123413975321,0,1,0,1,0,0,0.279123413975321,0.720876586024679,0,1,0.720876586024679,0.279123413975321
"Hun11",0.937679644609034,0.0623203553909663,0,1,0,1,0,0,0.0623203553909663,0.937679644609034,0,1,0.937679644609034,0.0623203553909663
"Hun12",0.987416437101165,0.0125835628988351,0,1,0,1,0,0,0.0125835628988351,0.987416437101165,0,1,0.987416437101165,0.0125835628988351
"Hun13",0.916179337323782,0.0838206626762183,0,1,0,1,0,0,0.0838206626762183,0.916179337323782,0,1,0.916179337323782,0.0838206626762183
"Hun18",0.459349593257015,0.323170730961888,0.217479675781097,0.782520324218903,0.217479675781097,0.567073170244311,0,0.432926829755689,0.323170730961888,0.676829269038112,0.217479675781097,0.782520324218903,0.676829269038112,0.323170730961888
"Sen75",0.92358803986711,0.0764119601328904,0,1,0,1,0,0,0.0764119601328904,0.92358803986711,0,1,0.92358803986711,0.0764119601328904
