"","NMDS1","NMDS2","Lake","nrow","Year","Fish.Status"
"Sno79",0.564809968710202,-0.452497683404423,"Snowflake",80,1979,"Decline"
"Sno91",0.662621411438211,0.210380475189592,"Snowflake",81,1991,"Decline"
"Sno92",0.767234302531469,0.0117336575741204,"Snowflake",82,1992,"Absent"
"Sno93",0.564876896471277,-0.190324267948799,"Snowflake",83,1993,"Absent"
"Sno94",0.660810983416725,-0.060580056952769,"Snowflake",84,1994,"Absent"
"Sno95",0.758826532715799,-0.0101728933454328,"Snowflake",85,1995,"Absent"
"Sno96",0.280895394922206,0.160698556737885,"Snowflake",86,1996,"Absent"
"Sno97",-0.286031825549398,-0.0807501228124344,"Snowflake",87,1997,"Absent"
"Sno98",0.0807942056933201,0.174867030571494,"Snowflake",88,1998,"Absent"
"Sno99",-0.304800340860598,0.0660277757224715,"Snowflake",89,1999,"Absent"
"Sno00",-0.373431427505851,-0.0479057370910999,"Snowflake",90,2000,"Absent"
"Sno01",-0.263986057853587,0.169266614881503,"Snowflake",91,2001,"Absent"
"Sno02",-0.199441984450511,0.144929173135566,"Snowflake",92,2002,"Absent"
"Sno03",-0.293250079280725,0.167636916828381,"Snowflake",93,2003,"Absent"
"Sno04",-0.342125237670252,0.0918784544857891,"Snowflake",94,2004,"Absent"
"Sno05",-0.262436989056371,0.139410098399733,"Snowflake",95,2005,"Absent"
"Sno06",-0.35775028432537,0.164219855254134,"Snowflake",96,2006,"Absent"
"Sno07",-0.322241278136979,0.201918987440393,"Snowflake",97,2007,"Absent"
"Sno08",-0.34882208278674,0.243927892793441,"Snowflake",98,2008,"Absent"
"Sno09",-0.37704324757573,0.0196867645847139,"Snowflake",99,2009,"Absent"
"Sno13",-0.444623206195102,-0.0794466432979873,"Snowflake",100,2013,"Absent"
"Sno22",-0.437844873207024,-0.152907307361188,"Snowflake",101,2022,"Absent"
"Opa06",-0.437844873207024,-0.152907307361188,"Opabin",102,2006,"Absent"
"Opa07",-0.418489928466359,-0.147293103157421,"Opabin",103,2007,"Absent"
"Opa08",-0.430718302848931,-0.150691360376259,"Opabin",104,2008,"Absent"
"Opa09",-0.417437410543713,-0.0240081529377768,"Opabin",105,2009,"Absent"
"Opa10",-0.433398653867902,-0.146919099710008,"Opabin",106,2010,"Absent"
"Opa11",-0.437844873207024,-0.152907307361188,"Opabin",107,2011,"Absent"
"Opa12",-0.432141541951638,-0.15188352760889,"Opabin",108,2012,"Absent"
"Opa13",-0.436202440601317,-0.151231468691278,"Opabin",109,2013,"Absent"
"Opa18",-0.277507016765919,0.305338976300426,"Opabin",110,2018,"Absent"
"Oes06",-0.437844873207024,-0.152907307361188,"Oesa",111,2006,"Absent"
"Oes07",-0.433392439521884,-0.1466349548189,"Oesa",112,2007,"Absent"
"Oes08",-0.433646855544782,-0.149925745282283,"Oesa",113,2008,"Absent"
"Oes09",-0.436679626553038,-0.151876515785323,"Oesa",114,2009,"Absent"
"Oes10",-0.434326178263349,-0.149090338663883,"Oesa",115,2010,"Absent"
"Oes11",-0.437844873207024,-0.152907307361188,"Oesa",116,2011,"Absent"
"Oes12",-0.433349595708524,-0.146747885831225,"Oesa",117,2012,"Absent"
"Oes13",-0.431416001076562,-0.144721440269317,"Oesa",118,2013,"Absent"
"Oes18",-0.437844873207024,-0.152907307361188,"Oesa",119,2018,"Absent"
"Eif75",-0.427639900130769,-0.117187304869804,"Eiffel",120,1975,"Absent"
"Eif07",-0.433390169469219,-0.146630418425535,"Eiffel",121,2007,"Absent"
"Eif08",-0.430550313980973,-0.131539978950116,"Eiffel",122,2008,"Absent"
"Eif09",-0.430275569778652,-0.133214157128705,"Eiffel",123,2009,"Absent"
"Eif10",-0.428075819443403,-0.114050626428341,"Eiffel",124,2010,"Absent"
"Eif11",-0.447798354992244,-0.0758382588578488,"Eiffel",125,2011,"Absent"
"Eif12",-0.429928760843382,-0.125630060241624,"Eiffel",126,2012,"Absent"
"Eif13",-0.427838116929577,-0.114429194671718,"Eiffel",127,2013,"Absent"
"Eif18",0.118216316117706,0.197659923305424,"Eiffel",128,2018,"Absent"
"Hun07",-0.543165476096993,0.0459037109350731,"Hungabee",129,2007,"Absent"
"Hun08",-0.505616957935163,-0.00325058898422142,"Hungabee",130,2008,"Absent"
"Hun09",-0.442574053454829,-0.0818086944498946,"Hungabee",131,2009,"Absent"
"Hun10",-0.552001557433868,0.0620810066121713,"Hungabee",132,2010,"Absent"
"Hun11",-0.430889114103917,-0.0982990720973028,"Hungabee",133,2011,"Absent"
"Hun12",-0.431626655831813,-0.142649821295156,"Hungabee",134,2012,"Absent"
"Hun13",-0.442553485798386,-0.0819566781593216,"Hungabee",135,2013,"Absent"
"Hun18",-0.191938723974332,0.419243596653261,"Hungabee",136,2017,"Absent"
"Sen75",-0.437375025034697,-0.0872279250840614,"Sentinel",137,1975,"Absent"
"Sen07",-0.400655017872726,-0.101368113695588,"Sentinel",138,2007,"Absent"
"Sen09",-0.551891273146138,0.0650183235449873,"Sentinel",139,2009,"Absent"
"Sen10",-0.431124146564652,-0.134436212600565,"Sentinel",140,2010,"Absent"
"Sen11",-0.4306918691987,-0.129969359714049,"Sentinel",141,2011,"Absent"
"Sen12",-0.433375952311878,-0.146602091777824,"Sentinel",142,2012,"Absent"
"Sen13",-0.443977005258615,-0.0809369751164254,"Sentinel",143,2013,"Absent"
"Sen18",-0.128035312687939,0.452465903737422,"Sentinel",144,2018,"Absent"
